User	Q	JzoSports	chrislhayes
<1m	0.8479067302596714	0.9233610341643583	0.6336345694401163
<2m	0.5299417064122947	0.8925823330255463	0.7063467331463592
<3m	0.7684154742978272	0.8002462296091105	0.7894463488106367
<4m	0.6624271330153684	0.7079101261926747	0.5609224057338735
<5m	0.9009009009009009	0.8925823330255463	0.5920847616079775
<6m	0.6624271330153684	0.523237919359803	0.8102212527267061
<7m	0.8744038155802861	0.6771314250538628	0.7582839929365327
<8m	0.7949125596184419	0.8618036318867343	0.6128596655240469
<9m	0.5829358770535241	0.7079101261926747	0.6647969253142204
<10m	0.5564387917329093	0.9849184364419821	0.7790588968526021
<11m	0.47694753577106513	0.46168051708217916	0.8517710605588449
<12m	0.7154213036565978	0.7079101261926747	0.7375090890204633
<13m	0.47694753577106513	0.6463527239150507	0.7790588968526021
<14m	0.7949125596184419	0.5847953216374269	0.6336345694401163
<15m	0.47694753577106513	0.9233610341643583	0.7790588968526021
<16m	0.8214096449390567	0.8925823330255463	0.8309961566427755
<17m	0.7419183889772125	1.10803324099723	0.7167341851043939
<18m	0.7419183889772125	0.8925823330255463	0.8413836086008103
<19m	0.29146793852676206	0.8310249307479225	0.6751843772722551
<20m	0.7154213036565978	0.6155740227762388	0.8309961566427755
